NOTES
"TEST_NAME";"NOTE";
AUTO_DDL.DMN.DSQL   ;@NOTES.NOTE.AUTO_DDL.DMN.DSQL.1.blob;
EXT_REL_0_35_E      ;@NOTES.NOTE.EXT_REL_0_35_E.2.blob;
DSQL_DOMAIN_13      ;@NOTES.NOTE.DSQL_DOMAIN_13.3.blob;
