SERIES
"SERIES_NAME";"TEST_NAME";"CREATED_BY";"SEQUENCE";
EXT_LEV_0           ;EXT_REL_0_21_D      ;qa_test             ;33;
EXT_LEV_0           ;EXT_REL_0_21_E      ;qa_test             ;34;
EXT_LEV_0           ;EXT_REL_0_21_G      ;qa_test             ;35;
EXT_LEV_0           ;EXT_REL_0_22_D      ;qa_test             ;36;
EXT_LEV_0           ;EXT_REL_0_22_E      ;qa_test             ;37;
EXT_LEV_0           ;EXT_REL_0_23_D      ;qa_test             ;38;
EXT_LEV_0           ;EXT_REL_0_23_E      ;qa_test             ;39;
EXT_LEV_0           ;EXT_REL_0_24_D      ;qa_test             ;40;
EXT_LEV_0           ;EXT_REL_0_24_E      ;qa_test             ;41;
EXT_LEV_0           ;EXT_REL_0_24_G      ;qa_test             ;42;
EXT_LEV_0           ;EXT_REL_0_25_D      ;qa_test             ;43;
EXT_LEV_0           ;EXT_REL_0_25_E      ;qa_test             ;44;
EXT_LEV_0           ;EXT_REL_0_26_D      ;qa_test             ;45;
EXT_LEV_0           ;EXT_REL_0_26_E      ;qa_test             ;46;
EXT_LEV_0           ;EXT_REL_0_26_G      ;qa_test             ;47;
EXT_LEV_0           ;EXT_REL_0_27_D      ;qa_test             ;48;
EXT_LEV_0           ;EXT_REL_0_27_E      ;qa_test             ;49;
EXT_LEV_0           ;EXT_REL_0_27_G      ;qa_test             ;50;
EXT_LEV_0           ;EXT_REL_0_28_D      ;qa_test             ;51;
EXT_LEV_0           ;EXT_REL_0_28_E      ;qa_test             ;52;
EXT_LEV_0           ;EXT_REL_0_29_D      ;qa_test             ;53;
EXT_LEV_0           ;EXT_REL_0_29_E      ;qa_test             ;54;
EXT_LEV_0           ;EXT_REL_0_30_D      ;qa_test             ;55;
EXT_LEV_0           ;EXT_REL_0_30_E      ;qa_test             ;56;
EXT_LEV_0           ;EXT_REL_0_31_D      ;qa_test             ;57;
EXT_LEV_0           ;EXT_REL_0_31_E      ;qa_test             ;58;
EXT_LEV_0           ;EXT_REL_0_32_D      ;qa_test             ;59;
EXT_LEV_0           ;EXT_REL_0_32_E      ;qa_test             ;60;
EXT_LEV_0           ;EXT_REL_0_33_D      ;qa_test             ;61;
EXT_LEV_0           ;EXT_REL_0_33_E      ;qa_test             ;62;
EXT_LEV_0           ;EXT_REL_0_33_G      ;qa_test             ;63;
EXT_LEV_0           ;EXT_REL_0_34_D      ;qa_test             ;64;
EXT_LEV_0           ;EXT_REL_0_34_E      ;qa_test             ;65;
EXT_LEV_0           ;EXT_REL_0_35_D      ;qa_test             ;66;
EXT_LEV_0           ;EXT_REL_0_35_E      ;qa_test             ;67;
EXT_LEV_0           ;EXT_REL_0_35_G      ;qa_test             ;68;
EXT_LEV_0           ;EXT_REL_0_36_D      ;qa_test             ;69;
EXT_LEV_0           ;EXT_REL_0_36_E      ;qa_test             ;70;
EXT_LEV_0           ;EXT_REL_0_36_G      ;qa_test             ;71;
EXT_LEV_0           ;EXT_REL_0_40_D      ;qa_test             ;72;
C_SQL_BLOB          ;C_SQL_CLEANUP       ;;35;
EXT_LEV_0           ;EXT_LEV_0_CLEANUP   ;;73;
GF_SHUTDOWN         ;GF_SHUT_END         ;;5;
SQL_EVENTS          ;SQL_EVENTS_CLEANUP  ;;14;
CF_ISQL             ;CF_ISQL_08          ;;7;
CF_ISQL             ;CF_ISQL_09          ;;8;
C_SQL_BLOB          ;C_SQL_BLOB_7        ;;7;
C_SQL_BLOB          ;C_SQL_BLOB_8        ;;8;
C_SQL_JOIN          ;C_SQL_JOIN_7        ;;7;
C_SQL_JOIN          ;C_SQL_JOIN_8        ;;8;
C_SQL_PRED          ;C_SQL_PRED_7        ;;7;
C_SQL_PRED          ;C_SQL_PRED_8        ;;8;
DSQL_DOMAINS        ;DSQL_DOMAIN_08      ;;7;
EXT_LEV_0           ;EXT_REL_0_3_G       ;;7;
EXT_LEV_0           ;EXT_REL_0_4_D       ;;8;
IDML_C_CHARSET      ;IDML_C_CHARSET_09   ;;7;
ISC_ARRBLOB_CK      ;ISC_ER07            ;;7;
ISC_ARRBLOB_CK      ;ISC_ER08            ;;8;
QA_PROCS_ISQL       ;PROC_ISQL_07        ;;7;
QA_PROCS_ISQL       ;PROC_ISQL_08        ;;8;
REF_INT_INDX        ;REF_INT.8.ISQL      ;;7;
RI_TESTS            ;C_DSQL_RI_COL_UNIQ  ;;7;
RI_TESTS            ;C_DSQL_RI_TAB_CHECK ;;8;
SQL_EVENTS          ;SQL_EVENT_08        ;;7;
SQL_EVENTS          ;SQL_EVENT_09        ;;8;
V4_AUTO_DDL_DSQL    ;AUTO_DDL.GEN.DSQL   ;;7;
CF_ISQL             ;CF_ISQL_17          ;;16;
