SERIES
"SERIES_NAME";"TEST_NAME";"CREATED_BY";"SEQUENCE";
C_SQL_JOIN          ;C_SQL_JOIN_24       ;penny               ;24;
C_SQL_JOIN          ;C_SQL_JOIN_25       ;penny               ;25;
C_SQL_JOIN          ;C_SQL_JOIN_26       ;penny               ;26;
C_SQL_JOIN          ;C_SQL_JOIN_27       ;penny               ;27;
C_SQL_JOIN          ;C_SQL_JOIN_28       ;penny               ;28;
C_SQL_JOIN          ;C_SQL_JOIN_33       ;penny               ;33;
C_SQL_JOIN          ;C_SQL_JOIN_34       ;penny               ;34;
C_SQL_JOIN          ;C_SQL_JOIN_35       ;penny               ;35;
C_SQL_JOIN          ;C_SQL_JOIN_36       ;penny               ;36;
C_SQL_JOIN          ;C_SQL_JOIN_37       ;penny               ;37;
C_SQL_JOIN          ;C_SQL_JOIN_38       ;penny               ;38;
C_SQL_JOIN          ;C_SQL_JOIN_39       ;penny               ;39;
C_SQL_JOIN          ;C_SQL_JOIN_40       ;penny               ;40;
C_SQL_JOIN          ;C_SQL_JOIN_41       ;penny               ;41;
C_SQL_JOIN          ;C_SQL_JOIN_42       ;penny               ;42;
C_SQL_JOIN          ;C_SQL_JOIN_43       ;penny               ;43;
C_SQL_JOIN          ;C_SQL_JOIN_44       ;penny               ;44;
C_SQL_JOIN          ;C_SQL_JOIN_45       ;penny               ;45;
C_SQL_BLOB          ;C_SQL_BLOB_5        ;penny               ;5;
C_SQL_BLOB          ;C_SQL_BLOB_6        ;penny               ;6;
C_SQL_BLOB          ;C_SQL_BLOB_9        ;penny               ;9;
C_SQL_BLOB          ;C_SQL_BLOB_10       ;penny               ;10;
C_SQL_BLOB          ;C_SQL_BLOB_11       ;penny               ;11;
C_SQL_BLOB          ;C_SQL_BLOB_16       ;penny               ;16;
C_SQL_BLOB          ;C_SQL_BLOB_17       ;penny               ;17;
C_SQL_BLOB          ;C_SQL_BLOB_18       ;penny               ;18;
C_SQL_BLOB          ;C_SQL_BLOB_21       ;penny               ;19;
C_SQL_BLOB          ;C_SQL_BLOB_22       ;penny               ;20;
C_SQL_BLOB          ;C_SQL_BLOB_23       ;penny               ;21;
C_SQL_BLOB          ;C_SQL_BLOB_24       ;penny               ;22;
C_SQL_BLOB          ;C_SQL_BLOB_25       ;penny               ;23;
C_SQL_BLOB          ;C_SQL_BLOB_26       ;penny               ;24;
C_SQL_BLOB          ;C_SQL_BLOB_28       ;penny               ;25;
C_SQL_BLOB          ;C_SQL_BLOB_29       ;penny               ;26;
C_SQL_BLOB          ;C_SQL_BLOB_30       ;penny               ;27;
C_SQL_BLOB          ;C_SQL_BLOB_1        ;penny               ;1;
C_SQL_BLOB          ;C_SQL_BLOB_2        ;penny               ;2;
C_SQL_BLOB          ;C_SQL_BLOB_3        ;penny               ;3;
C_SQL_BLOB          ;C_SQL_BLOB_4        ;penny               ;4;
GF_SHUTDOWN         ;GF_SHUT_START       ;;0;
RI_TESTS            ;C_DSQL_RI_ALT_ADD   ;qa_test             ;1;
RI_TESTS            ;C_DSQL_RI_ALT_DROP  ;qa_test             ;2;
RI_TESTS            ;C_DSQL_RI_COL_REF   ;qa_test             ;3;
RI_TESTS            ;C_DSQL_RI_COL_CHECK ;qa_test             ;4;
RI_TESTS            ;C_DSQL_RI_COL_NNULL ;qa_test             ;5;
RI_TESTS            ;C_DSQL_RI_COL_PRIM  ;qa_test             ;6;
RI_TESTS            ;C_DSQL_RI_TAB_PRIM  ;qa_test             ;9;
RI_TESTS            ;C_DSQL_RI_TAB_REF   ;qa_test             ;10;
RI_TESTS            ;C_DSQL_RI_TAB_UNIQ  ;qa_test             ;11;
V4_AUTO_DDL_DSQL    ;AUTO_DDL.VEW.DSQL   ;clare               ;1;
V4_AUTO_DDL_DSQL    ;AUTO_DDL.IND.DSQL   ;clare               ;2;
V4_AUTO_DDL_DSQL    ;AUTO_DDL.DMN.DSQL   ;clare               ;3;
V4_AUTO_DDL_DSQL    ;AUTO_DDL.TRG.DSQL   ;clare               ;4;
V4_AUTO_DDL_DSQL    ;AUTO_DDL.PRC.DSQL   ;clare               ;5;
V4_AUTO_DDL_DSQL    ;AUTO_DDL.EXCP.DSQL  ;clare               ;6;
IDML_C_CHARSET      ;IDML_C_CHARSET_01   ;;0;
IDML_C_SUBQUERYS    ;IDML_C_SUBQ_01      ;;0;
DSQL_DOMAINS        ;DSQL_DOMAIN_16      ;penny_tbh1          ;16;
C_SQL_JOIN          ;C_SQL_JOIN_12       ;penny               ;12;
C_SQL_JOIN          ;C_SQL_JOIN_13       ;penny               ;13;
C_SQL_JOIN          ;C_SQL_JOIN_14       ;penny               ;14;
C_SQL_JOIN          ;C_SQL_JOIN_15       ;penny               ;15;
